Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
GCA_007096805.1,Microcystis panniformis Mp_MB_F_20051200_S9D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4788160,single,42.3303106,98.79,0.58,fresh,temperate
GCA_007096815.1,Microcystis panniformis Mp_GB_SS_20050300_S99,Brazil: Goias-Brazil; Sao Simao Lake,non-axenic culture from freshwater,4622124,single,42.35269326,97.7,0.58,fresh,temperate
GCA_007096865.1,Microcystis panniformis Mp_MB_F_20051200_S9,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4507580,single,42.43682863,97.48,0.51,fresh,temperate
GCA_007096895.1,Microcystis panniformis Mp_MB_F_20051200_S6D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4778625,single,42.33786916,99.01,0.58,fresh,temperate
GCA_007096905.1,Microcystis panniformis Mp_MB_F_20051200_S6,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4636995,single,42.34755483,97.92,0.58,fresh,temperate
GCA_007692715.1,Leptolyngbya sp. LCM1.Bin17,Canada: Cariboo Plateau,alkaline salt lake,4618092,filament,55.38672681,98.55,2.49,salt,temperate
GCA_007693955.1,Gloeocapsa sp. DLM2.Bin57,Canada: Cariboo Plateau,alkaline salt lake,3451834,single,38.05339422,99.34,0.44,salt,temperate
GCA_007694125.1,Leptolyngbya sp. DLM2.Bin15,Canada: Cariboo Plateau,alkaline salt lake,5006105,filament,53.9312899,97.63,1.3,salt,temperate
GCA_007694915.1,Cyanobium sp. PLM2.Bin73,Canada: Cariboo Plateau,alkaline salt lake,2722604,single,69.42085592,98.64,0.27,salt,temperate
GCA_007732545.1,Arthrospira sp. PLM2.Bin9,Canada: Cariboo Plateau,alkaline salt lake,4788243,filament,44.359549,98.8,0.22,salt,temperate
GCF_008121535.1,Dolichospermum sp. UHCC 0315A,Finland: Helsinki,Gulf of Finland,5642022,filament,38.158412,99.67,0.22,fresh,cold-freezing
GCF_008807075.1,Synechococcus sp. RSCCF101,Saudi Arabia: Red Sea,Red Sea water,2984853,single,67.98140478,98.91,1.63,salt,temperate
GCF_009498715.1,Synechococcus elongatus PCC 11802,India: Powai Lake; Mumbai,Powai Lake; Mumbai; India,2760484,single,54.80296263,99.46,0,fresh,temperate
GCF_009711925.1,Dolichospermum sp. UHCC 0352,Finland: Lake Tuusulanjarvi,Freshwater lake,5128860,filament,38.00952766,99.44,0,fresh,cold-freezing
GCF_009711935.1,Dolichospermum sp. UHCC 0259,Finland: The Gulf of Finland; Baltic Sea,Brackish water,5635377,filament,37.99742228,99.89,0.67,salt,temperate
GCF_009711965.1,Dolichospermum sp. UHCC 0299,Finland: Lake Vesijarvi; Lahti,Freshwater lake,5125448,filament,38.05060377,99.67,0.22,fresh,temperate
GCF_009711985.1,Dolichospermum sp. UHCC 0260,Finland: The Gulf of Finland; Baltic Sea,Brackish water,4921436,filament,38.09100549,99.22,0,salt,temperate
GCF_009712025.1,Dolichospermum sp. UHCC 0406,Finland: Lake Tuusulanjarvi,Freshwater lake,5181811,filament,38.03857534,99.22,0.22,fresh,cold-freezing
GCF_009873495.1,Nostoc sp. ATCC 53789,United Kingdom: Scotland; Arron Island,lichen thallus,8653730,filament,41.41156472,99.56,0.44,lichen,temperate
GCA_009909085.1,Cyanobacteria bacterium GSL.Bin1,USA: Bridger Bay in Great Salt Lake; Utah,Microbial Mat,4822295,NA,43.82523259,99.11,2.34,fresh,temperate
GCA_009927805.1,Synechococcaceae bacterium LLD_019,USA: Chattahoochee River,water samples from lakes and estuaries along the Chattahoochee River collected between June/2010 and December/2014,2020506,single,52.36495215,98.01,0.36,fresh,cold-freezing
GCA_009993545.1,Cyanobacteria bacterium CG_2015-16_32_12,USA: Utah; Crystal Geyser near Green River,subsurface aquifer,3346745,NA,32.35305459,97.63,0,mineral,temperate
GCA_009993925.1,Cyanobacteria bacterium CG_2015-09_32_10,USA: Utah; Crystal Geyser near Green River,subsurface aquifer,3305063,NA,32.38867231,97.71,1.09,mineral,temperate
GCA_009995625.1,Microcystis aeruginosa W13-16,USA: Kalamazoo County; MI,Wintergreen Lake,5005468,single,42.42708311,99.23,0.07,fresh,cold-freezing
GCA_009995635.1,Microcystis aeruginosa W13-18,USA: Kalamazoo County; MI,Wintergreen Lake,4974513,single,42.53130081,99.45,0.51,fresh,cold-freezing
GCA_009995645.1,Microcystis aeruginosa W13-15,USA: Kalamazoo County; MI,Wintergreen Lake,5065390,single,42.37824609,99.45,0.07,fresh,cold-freezing
GCA_009995685.1,Microcystis aeruginosa W13-13,USA: Kalamazoo County; MI,Wintergreen Lake,4964311,single,42.5106798,99.45,0.07,fresh,cold-freezing
GCA_009995705.1,Microcystis aeruginosa W13-11,USA: Kalamazoo County; MI,Wintergreen Lake,4866322,single,42.36798292,99.89,0.73,fresh,cold-freezing
GCA_009995725.1,Microcystis aeruginosa SX13-11,USA: Allegan County; MI,Sixteen Lake,5088571,single,42.49528994,99.23,0.37,fresh,cold-freezing
GCA_009995765.1,Microcystis aeruginosa W11-06,USA: Kalamazoo County; MI,Wintergreen Lake,4480325,single,42.84209598,99.89,0.37,fresh,cold-freezing
GCA_009995775.1,Microcystis aeruginosa W11-03,USA: Kalamazoo County; MI,Wintergreen Lake,4478998,single,42.84940172,99.89,0.29,fresh,cold-freezing
GCA_009995785.1,Microcystis aeruginosa S11-05,USA: Kalamazoo County; MI,Sherman Lake,4975521,single,42.51596412,99.01,0.73,fresh,cold-freezing
GCA_009995825.1,Microcystis aeruginosa S11-01,USA: Kalamazoo County; MI,Sherman Lake,4979827,single,42.52371734,99.23,0.51,fresh,cold-freezing
GCA_009995845.1,Microcystis aeruginosa LG13-13,USA: Ingham County; MI,Lansing Lake,5048915,single,42.71166492,99.45,0.37,fresh,cold-freezing
GCA_009995855.1,Microcystis aeruginosa LL11-07,USA: Barry County; MI,Little Long Lake,5150581,single,42.42177727,99.23,0.69,fresh,cold-freezing
GCA_009995885.1,Microcystis aeruginosa LL13-03,USA: Barry County; MI,Little Long Lake,5133314,single,42.45651933,98.79,0.91,fresh,cold-freezing
GCA_009995895.1,Microcystis aeruginosa LL13-06,USA: Barry County; MI,Little Long Lake,4822445,single,42.39932067,98.72,0.29,fresh,cold-freezing
GCA_009995925.1,Microcystis aeruginosa LG13-12,USA: Ingham County; MI,Lansing Lake,4984250,single,42.63158845,99.45,0.58,fresh,cold-freezing
GCA_009995945.1,Microcystis aeruginosa LG13-11,USA: Ingham County; MI,Lansing Lake,5079950,single,42.70711507,99.67,0.62,fresh,cold-freezing
GCA_009995965.1,Microcystis aeruginosa LG11-05,USA: Ingham County; MI,Lansing Lake,5059631,single,42.73394009,99.38,0.29,fresh,cold-freezing
GCA_009995985.1,Microcystis aeruginosa LG13-03,USA: Ingham County; MI,Lansing Lake,5040932,single,42.74490852,99.45,0.29,fresh,cold-freezing
GCA_009995995.1,Microcystis aeruginosa LE13-04,USA: Calhoun County; MI,Lee Lake,5037574,single,42.46835428,99.67,0.22,fresh,cold-freezing
GCA_009996025.1,Microcystis aeruginosa L311-01,USA: Ingham County; MI,MSU3 Lake,4768617,single,42.70319115,99.89,0.29,fresh,temperate
GCA_009996045.1,Microcystis aeruginosa L211-101,USA: Ingham County; MI,MSU2 Lake,5104737,single,42.70029129,99.89,0.51,fresh,cold-freezing
GCA_009996055.1,Microcystis aeruginosa L211-11,USA: Ingham County; MI,MSU2 Lake,5115307,single,42.69357572,99.89,0.51,fresh,cold-freezing
GCA_009996085.1,Microcystis aeruginosa L211-07,USA: Ingham County; MI,MSU2 Lake,4934342,single,42.68650038,99.89,0.48,fresh,cold-freezing
GCA_009996095.1,Microcystis aeruginosa L111-01,USA: Ingham County; MI,MSU1 Lake,5012425,single,42.57774949,99.01,0.18,fresh,temperate
GCA_009996105.1,Microcystis aeruginosa K13-10,USA: Oakland County; MI,Kent Lake,5313379,single,42.84883765,99.67,0.51,fresh,cold-freezing
GCA_009996145.1,Microcystis aeruginosa K13-07,USA: Oakland County; MI,Kent Lake,4981878,single,42.54028879,99.67,0.4,fresh,cold-freezing
GCA_009996165.1,Microcystis aeruginosa K13-06,USA: Oakland County; MI,Kent Lake,4988130,single,42.93840233,99.89,0.29,fresh,cold-freezing
GCA_009996185.1,Microcystis aeruginosa K13-05,USA: Oakland County; MI,Kent Lake,5273531,single,42.8246535,99.23,0.51,fresh,cold-freezing
GCA_009996195.1,Microcystis aeruginosa G13-11,USA: Kalamazoo County; MI,Gull Lake,5017716,single,42.51710035,99.01,0.07,fresh,cold-freezing
GCA_009996205.1,Microcystis aeruginosa G13-12,USA: Kalamazoo County; MI,Gull Lake,5074513,single,42.559877,98.79,0.37,fresh,cold-freezing
GCA_009996235.1,Microcystis aeruginosa G13-10,USA: Kalamazoo County; MI,Gull Lake,5115854,single,42.5306534,98.36,0.95,fresh,cold-freezing
GCA_009996255.1,Microcystis aeruginosa G13-09,USA: Gull Lake,Gull Lake,4912351,single,42.44221946,99.89,0.15,fresh,temperate
GCA_009996285.1,Microcystis aeruginosa G13-05,USA: Kalamazoo County; MI,Gull Lake,5110248,single,42.52633993,99.01,0.07,fresh,cold-freezing
GCA_009996305.1,Microcystis aeruginosa G13-07,USA: Kalamazoo County; MI,Gull Lake,5086490,single,42.52968183,98.79,0.07,fresh,cold-freezing
GCA_009996315.1,Microcystis aeruginosa G13-03,USA: Kalamazoo County; MI,Gull Lake,5124586,single,42.55112322,98.57,0.48,fresh,temperate
GCA_009996325.1,Microcystis aeruginosa G13-01,USA: Kalamazoo County; MI,Gull Lake,5071891,single,42.49615045,98.79,0.29,fresh,cold-freezing
GCA_009996365.1,Microcystis aeruginosa G11-09,USA: Kalamazoo County; MI,Water Sample from freshwater lake,5067842,single,42.45302906,98.57,0.37,fresh,cold-freezing
GCA_009996385.1,Microcystis aeruginosa G11-06,USA: Kalamazoo County; MI,Gull Lake,5135684,single,42.4328281,99.23,1.21,fresh,cold-freezing
GCA_009996405.1,Microcystis aeruginosa G11-01,USA: Kalamazoo County; MI,Gull Lake,5239892,single,42.46858183,98.57,0.51,fresh,cold-freezing
GCA_009996415.1,Microcystis aeruginosa BS13-10,USA: Allegan County; MI,Baseline Lake,5179655,single,42.42866525,99.89,0.15,fresh,cold-freezing
GCA_009996445.1,Microcystis aeruginosa G11-04,USA: Kalamazoo County; MI,Gull Lake,5001263,single,42.50891872,98.79,0.15,fresh,cold-freezing
GCA_009996455.1,Microcystis aeruginosa F13-15,USA: Washtenaw County; MI,Ford Lake,5435224,single,42.68542509,99.89,0.69,fresh,cold-freezing
GCA_009996485.1,Microcystis aeruginosa BS13-02,USA: Allegan County; MI,Baseline Lake,4624404,single,42.34725002,99.67,0.37,fresh,cold-freezing
GCA_009996525.1,Microcystis aeruginosa BK11-02,USA: Barry County; MI,Baker Lake,4923799,single,42.65289385,99.45,0.29,fresh,temperate
GCA_009996535.1,Microcystis aeruginosa BS11-05,USA: Allegan County; MI,Baseline Lake,4924915,single,42.50964436,99.23,0.07,fresh,cold-freezing
GCF_010222815.1,Synechocystis sp. CACIAM 05,Brazil: Belem,freshwater lake,3580992,single,47.79850887,99.78,0,fresh,temperate
GCA_010671905.1,Leptolyngbya sp. SIOISBB,Indonesia,marine benthic turfs,8337038,filament,51.86077971,98.82,1.77,salt,temperate
GCA_010671925.1,Moorena sp. SIOASIH,American Samoa,marine benthic turfs,9938825,filament,43.67238582,99.33,1.48,salt,temperate
GCA_010672085.1,Okeania sp. SIO3I5,Panama: Portobelo,marine benthic turfs,10545295,filament,36.22287665,99.05,1.6,salt,temperate
GCA_010672105.1,Moorena sp. SIO3F7,Papua New Guinea: Hoia Bay,marine benthic turfs,8521894,filament,43.55300944,99.11,0.7,salt,temperate
GCA_010672165.1,Spirulina sp. SIO3F2,American Samoa,marine benthic turfs,7298690,filament,49.18761908,98.93,2.47,salt,temperate
GCA_010672205.1,Moorena sp. SIO3A5,Curacao: Netherland Anthilles,marine benthic turfs,8318518,filament,43.63685509,99.22,1.37,salt,temperate
GCA_010672265.1,Moorena sp. SIO3A2,Northern Mariana Islands: Saipan,marine benthic turfs,8376638,filament,43.60536146,99.22,1.37,salt,temperate
GCA_010672295.1,Okeania sp. SIO2G4,Palmyra Atoll,marine benthic turfs,8393698,filament,36.26635106,100,1.53,salt,temperate
GCA_010672425.1,Symploca sp. SIO2E6,Papua New Guinea: Hoia Bay,marine benthic turfs,8963760,filament,43.50892698,98.89,2.97,salt,temperate
GCA_010672525.1,Okeania sp. SIO2B3,Panama: Boco del Toro,marine benthic turfs,10005084,filament,36.55487321,99.89,1.82,salt,temperate
GCA_010672585.1,Okeania sp. SIO1I7,Curacao: Netherland Anthilles,marine benthic turfs,9479399,filament,36.58960193,99.78,2.15,salt,temperate
GCA_010672685.1,Okeania sp. SIO1H2,Panama: Boco del Toro,marine benthic turfs,8376780,filament,36.38390775,99.78,1.75,salt,temperate
GCA_010672695.1,Okeania sp. SIO1H4,Panama: Boco del Toro,marine benthic turfs,8344149,filament,36.31768387,99.56,1.75,salt,temperate
GCA_010672745.1,Okeania sp. SIO1F9,USA: Puerto Rico,marine benthic turfs,8343580,filament,36.37802888,99.78,1.31,salt,temperate
GCA_010672755.1,Moorena sp. SIO1F2,American Samoa,marine benthic turfs,7118633,filament,43.762366,98.78,1.56,salt,temperate
GCA_010672785.1,Sphaerospermopsis sp. SIO1G1,USA: Puerto Rico,marine benthic turfs,5187854,filament,36.27160275,99.56,0.44,salt,temperate
GCA_010672795.1,Moorena sp. SIO1G6,USA: Puerto Rico,marine benthic turfs,8303279,filament,43.57654915,99,1.67,salt,temperate
GCA_010672865.1,Kamptonema sp. SIO1D9,China,marine benthic turfs,6162206,filament,41.33946931,99.22,1.81,salt,temperate
GCA_010672965.1,Oscillatoria sp. SIO1A7,American Samoa,marine benthic turfs,9081372,filament,47.89633006,99.71,1.06,salt,temperate
GCA_010692305.1,Moorena sp. SIO4G3,Guam: Apra Harbor,marine benthic turfs,9930682,filament,43.48126326,99.26,1.33,salt,temperate
GCA_010692325.1,Moorena sp. SIO3I8,Papua New Guinea: Hoia Bay,marine benthic turfs,7992293,filament,43.63190719,99,1.37,salt,temperate
GCA_010692445.1,Moorena sp. SIO3E8,Panama: Las Perlas,marine benthic turfs,8535497,filament,43.56569695,99.11,1.04,salt,temperate
GCA_010692625.1,Okeania sp. SIO2C2,Panama: Boco del Toro,marine benthic turfs,8888403,filament,36.45443185,100,1.68,salt,temperate
GCA_010692635.1,Symploca sp. SIO2C1,Panama: Boco del Toro,marine benthic turfs,8166785,filament,42.69920849,99.33,2.44,salt,temperate
GCA_010692645.1,Symploca sp. SIO2E9,Papua New Guinea: Hoia Bay,marine benthic turfs,7745768,filament,43.17296352,99.26,2.09,salt,temperate
GCA_010692685.1,Okeania sp. SIO2F5,Palmyra Atoll,marine benthic turfs,8413035,filament,36.2530869,100,1.53,salt,temperate
GCF_011365345.1,Synechococcus sp. HB1133,Australia: Sydney; Freshwater Beach,coastal seawater,2378765,single,58.23660597,99.46,0,salt,temperate
GCA_011390275.1,Geitlerinema sp. S16,China: Xiaochaidan Lake,Tibetan lacustrine sediment,4284252,filament,53.60630047,98.37,0.14,soil,temperate
GCA_011390955.1,Oscillatoriales cyanobacterium,China: Tataling River,Tibetan lacustrine sediment,7119540,filament,43.72459457,98.34,0.33,fresh,temperate
GCA_011391125.1,Synechococcales cyanobacterium S06,China: Tataling River,Tibetan lacustrine sediment,4814433,single,35.65419989,98.03,0.44,fresh,temperate
GCA_011524395.1,Moorena sp. SS36440bin_2,Australia: Great Barrier Reef; Magnetic Island; Geoffrey Bay,coral reef macroalgae biofilm,7749996,filament,43.10354627,98.44,0.81,salt,temperate
GCA_012030745.1,Oscillatoriales cyanobacterium SM2_3_0,South Africa: Schoenmakerskop,Stromatolite,5114543,filament,47.87053311,97.31,1.09,soil,temperate
GCA_012030825.1,Pleurocapsa sp. SU_5_0,South Africa: Schoenmakerskop,Stromatolite,5166204,single,39.87662179,97.93,0.66,soil,temperate
GCA_012031265.1,Spirulinaceae cyanobacterium SM2_1_0,South Africa: Schoenmakerskop,Stromatolite,5028328,filament,57.8160338,97.7,0.74,soil,temperate
GCA_012031965.1,Scytonema sp. RU_4_4,South Africa: Cape Recife,Stromatolite,7329063,filament,42.51729041,99.15,0.48,soil,temperate
GCA_012032345.1,Leptolyngbyaceae cyanobacterium RM1_1_2,South Africa: Cape Recife,Stromatolite,4875230,filament,51.86497868,97.74,1.18,soil,temperate
GCA_012032385.1,Richelia sp. RM1_1_1,South Africa: Cape Recife,Stromatolite,9611769,filament,37.42070731,98.89,1.89,soil,temperate
GCA_012033205.1,Richelia sp. SL_2_1,South Africa: Schoenmakerskop,Stromatolite,7552247,filament,37.34530519,97.36,1.33,soil,temperate
GCA_012033335.1,Oscillatoriales cyanobacterium RM2_1_1,South Africa: Cape Recife,Stromatolite,5179519,filament,47.84915356,98.54,0,soil,temperate
GCA_012034135.1,Hydrococcus sp. CRU_1_1,South Africa: Cape Recife,Stromatolite,6270348,single,42.11954424,97.16,2.22,soil,temperate
GCA_012034595.1,Calothrix sp. CSU_2_0,South Africa: Schoenmakerskop,Stromatolite,7437768,filament,39.17021881,97.35,1.33,soil,temperate
GCA_012034765.1,Hyellaceae cyanobacterium CSU_1_1,South Africa: Schoenmakerskop,Stromatolite,4614202,single,39.97822375,97.16,0.44,soil,temperate
GCA_012103655.1,Synechococcus sp. s2_metabat2_7,New Zealand: South Island; Marlborough; Capsize Point,marine sponge,2465303,single,55.15054336,98.91,0.54,salt,temperate
GCF_012295525.1,Oxynema aestuarii AP17,India: Sundarbans,mangrove intertidal soil surface,6357750,single,51.45252644,99.29,1.38,salt,temperate
GCF_012911975.1,Nodosilinea sp. P-1105,Russia: Altai region; Klyuchevskoi district; Severka village; Cock Soda lake,Cock Soda lake; Kulunda Steppe,6012553,filament,55.05176739,98.55,2.45,mineral,temperate
GCF_012933585.1,Prochlorococcus sp. P1361,Pacific Ocean: Station ALOHA; 100 km north of Oahu; HI; USA,base of a wide chlorophyll maximum feature; near the base of the euphotic zone,2512699,single,50.57040258,100,0.95,salt,temperate
GCF_012933595.1,Prochlorococcus sp.P1363,Pacific Ocean: Station ALOHA; 100 km north of Oahu; HI; USA,base of a wide chlorophyll maximum feature; near the base of the euphotic zone,2558254,single,50.60154308,100,1.23,salt,temperate
GCF_012933605.1,Prochlorococcus sp. P1344,Pacific Ocean: Station ALOHA; 100 km north of Oahu; HI; USA,base of a wide chlorophyll maximum feature; near the base of the euphotic zone,2472965,single,50.796837,100,0.41,salt,temperate
GCA_013133755.1,Synechococcus sp. MIT S9220,Pacific Ocean: Equatorial Pacific,non-axenic culture originally inoculated with ocean water,2406645,single,56.42489856,99.73,0.27,salt,temperate
GCA_013214565.1,Richelia sp.,Pacific Ocean: North Pacific Gyre; Station ALOHA,ocean water from marine abyssalpelagic zone,4618895,filament,39.06007822,99,0.22,salt,cold-freezing
GCA_013297675.1,Synechococcales cyanobacterium bin59.metabat.ball.084,New Zealand: Wai-iti river; Nelson,freshwater Microcoleus biofilm,4638660,single,45.28225415,97.02,0.85,fresh,temperate
GCA_013299165.1,Microcoleus sp. bin38.metabat.b11b12b14.051,New Zealand: Wai-iti river; Nelson,freshwater Microcoleus biofilm,7065190,filament,45.81009564,98.72,0.11,fresh,temperate
GCA_013299185.1,Microcoleus sp. bin48.metabat.b7b8b9.023,New Zealand: Wai-iti river; Nelson,freshwater Microcoleus biofilm,7515898,filament,45.34028096,99.27,0.55,fresh,temperate
GCA_013388695.1,Fischerella sp.,Canada: Liard River,hot spring sediment,5997683,filament,42.53757659,98.55,1.08,salt,temperate
GCF_014217855.1,Synechococcus sp. HK01-R,Hong Kong,seawater,2479254,single,61.20777491,99.46,0,salt,temperate
GCF_014217875.1,Synechococcus sp. LTW-R,Hong Kong,seawater,2415533,single,62.5626725,100,0.27,salt,temperate
GCF_014224335.1,Synechococcus sp. BSF8S,Bulgaria: Black Sea,marine water,2884859,single,65.75863846,99.73,0.27,salt,temperate
GCF_014224355.1,Synechococcus sp. BSA11S,Bulgaria: Black Sea,marine water,2883234,single,65.7742313,99.73,0.27,salt,temperate
GCA_014250495.1,Limnospira indica BM01,Tanzania: Arusha National Park; Big Momela Lake,saline lake water,6228153,filament,44.8040827,99.2,0.22,salt,temperate
GCF_014279535.1,Synechococcus sp. TAK9802,Pacific Ocean,marine environment,2190394,single,60.76039288,100,0.27,salt,temperate
GCF_014279555.1,Synechococcus sp. SYN20,North Sea,marine environment,2728628,single,53.42234266,99.46,0.54,salt,temperate
GCA_014279575.1,Synechococcus sp. RS9915,Indian Ocean,marine environment,2417983,single,59.49817468,99.18,0,salt,temperate
GCF_014279595.1,Synechococcus sp. RS9909,Indian Ocean,marine environment,2603169,single,64.43991919,100,0,salt,temperate
GCF_014279615.1,Synechococcus sp. RS9907,Indian Ocean,marine environment,2581635,single,60.35919098,99.73,0.27,salt,temperate
GCF_014279635.1,Synechococcus sp. RS9902,Indian Ocean,marine environment,2481217,single,59.77357079,100,0.27,salt,temperate
GCF_014279655.1,Synechococcus sp. ROS8604,Atlantic Ocean,marine environment,2876904,single,53.96374019,99.46,0,salt,temperate
GCF_014279755.1,Synechococcus sp. PROS-U-1,Atlantic Ocean,marine environment,2576003,single,58.38114319,99.46,0.14,salt,temperate
GCF_014279775.1,Synechococcus sp. PROS-9-1,Mediterranean Sea,marine environment,2273940,single,53.88822924,99.32,0,salt,temperate
GCF_014279795.1,Synechococcus sp. PROS-7-1,Mediterranean Sea,marine environment,2565218,single,59.26759441,99.73,0.27,salt,temperate
GCF_014279815.1,Synechococcus sp. NOUM97013,Pacific Ocean,marine environment,2552712,single,58.81779848,99.46,0.23,salt,temperate
GCF_014279835.1,Synechococcus sp. MVIR-18-1,North Sea,marine environment,2451974,single,53.43466122,99.32,0,salt,temperate
GCF_014279855.1,Synechococcus sp. Minos11,Mediterranean Sea,marine environment,2284343,single,60.46136679,99.64,0,salt,temperate
GCF_014279875.1,Synechococcus sp. MEDNS5,Mediterranean Sea,marine environment,2435869,single,59.08700345,99.18,0,salt,temperate
GCF_014279895.1,Synechococcus sp. M16.1,Atlantic Ocean,marine environment,2112236,single,61.36075704,99.46,0,salt,temperate
GCA_014279915.1,Synechococcus sp. BOUM118,Mediterranean Sea,marine environment,2326334,single,59.77773517,99.46,0,salt,temperate
GCF_014279955.1,Synechococcus sp. BMK-MC-1,Mediterranean Sea,marine environment,2601150,single,60.35768795,98.91,0.54,salt,temperate
GCF_014279975.1,Synechococcus sp. BIOS-U3-1,Pacific Ocean,marine environment,2710834,single,54.97555365,99.73,0,salt,temperate
GCF_014279995.1,Synechococcus sp. BIOS-E4-1,Pacific Ocean,marine environment,3314220,single,55.12309637,100,0.82,salt,temperate
GCF_014299995.1,Sphaerospermopsis sp. LEGE 00249,Portugal: Maranhao dam reservoir; campsite at Montargil,frewshwater from dam reservoir,5298876,filament,37.53779103,99.44,0.25,fresh,temperate
GCF_014304795.1,Synechococcus sp. WH 8101,Atlantic Ocean,marine environment,2623023,single,63.34500307,100,0.82,salt,temperate
GCF_014304815.1,Synechococcus sp. MIT S9220,Pacific Ocean,marine environment,2424175,single,56.36977528,99.73,0.27,salt,temperate
GCA_014324065.1,Hormoscilla sp. SP12CHS1,Guam: Anae Island reef,whole sponge tissue,4999041,filament,47.69122417,97.17,0.83,salt,temperate
GCF_014489865.2,Limnospira fusiformis KN01,Tanzania: Singida; Lake Kindai,saline lake,5640992,filament,44.48830195,99.6,0.22,salt,temperate
GCA_014654725.1,Vulcanococcus sp. Clear-D1,USA: Clear Lake; CA,Dolichospermum enrichment culture inoculated with lake water from cyanobacterial bloom,2960550,single,63.93108457,100,0.54,fresh,temperate
GCA_014654815.1,Aphanizomenon flos-aquae Clear-A1,USA: Clear Lake; CA,Aphanizomenon enrichment culture inoculated with lake water from cyanobacterial bloom,4442226,filament,37.14163892,99.89,0.22,fresh,temperate
GCA_014946735.1,Microcystis aeruginosa PMC 728.11,France: Valence,Microcystis non-axenic culture inoculated from freshwater pond water,5535882,single,42.44006646,98.57,1.02,fresh,temperate
GCF_015206895.1,Nostoc sp. LEGE 12450,Portugal: Tropical Botanical Garden of Lisbon,cycad coralloid root,8816581,filament,41.40261206,99.26,0.74,plant,temperate
GCA_015206945.1,Nostocales cyanobacterium LEGE 12452,Portugal: Tropical Botanical Garden of Lisbon,cycad coralloid root,8381711,filament,41.52166545,98.56,1.44,plant,temperate
GCF_015206985.1,Nostoc sp. LEGE 12447,Portugal: Tropical Botanical Garden of Lisbon,cycad coralloid root,8559644,filament,41.44944302,99.44,0.44,plant,temperate
GCA_015207155.1,Nostocales cyanobacterium LEGE 11386,Portugal,intertidal zone; on a marine sponge,6494076,filament,41.60620898,99.78,0.22,salt,temperate
GCA_015207195.1,Pleurocapsales cyanobacterium LEGE 10410,Portugal: Vila Nova de Mil Fontes,intertidal zone; green biofilm on a pebblestone,6644688,single,41.21850864,98.91,0.82,salt,temperate
GCF_015207205.1,Sphaerospermopsis sp. LEGE 08334,Mexico: Lake Zumpango,water sample,5548733,filament,37.23893364,99.44,0,fresh,temperate
GCF_015207255.1,Romeria aff. gracilis LEGE 07310,Portugal: Minho estuary; Caminha,mesotidal zone; benthic,5264681,single,55.6809045,99.46,1.63,salt,temperate
GCF_015207285.1,Tychonema sp. LEGE 07203,Portugal: wastewater treatment plant at Febros river; Vila Nova de Gaia,biofilm; from a biological treatment tank outlet,6618298,filament,46.0429298,98.94,0.58,waste,temperate
GCF_015207295.1,Tychonema sp. LEGE 07199,Portugal: wastewater treatment plant at Febros river; Vila Nova de Gaia,biofilm; from a biological treatment tank outlet,6699634,filament,45.67352485,98.83,0.29,waste,temperate
GCF_015207345.1,Tychonema sp. LEGE 07196,Portugal: wastewater treatment plant at Febros river; Vila Nova de Gaia,biofilm; from a biological treatment tank outlet,6690183,filament,45.64093389,99.05,0.29,waste,temperate
GCA_015207365.1,filamentous cyanobacterium LEGE 07170,Portugal: Praia de Olhos d gua; Albufeira,wave-exposed tide puddle,6935026,filament,51.96170858,99.18,2.4,salt,temperate
GCF_015207395.1,Nodosilinea sp. LEGE 07088,Portugal: Douro estuary; Porto,mesotidal zone; benthic,6690142,filament,55.48739556,99.18,2.45,salt,temperate
GCF_015207425.1,Lusitaniella coriacea LEGE 07157,Portugal: Praia de Lavadores; Canidelo,tide pool; rock surface scraping,5864958,filament,47.07205867,99.44,1.15,NA,temperate
GCF_015207485.1,Planktothrix mougeotii LEGE 06226,Portugal: wastewater treatment plant at Febros river; Vila Nova de Gaia,floating masses; from a secondary decanter tank bank,6226999,filament,39.42321173,99.24,0.98,waste,temperate
GCF_015207505.1,Tychonema sp. LEGE 06208,Portugal: wastewater treatment plant at Febros river; Vila Nova de Gaia,biofilm; from a secondary decanter tank bank,6554502,filament,45.67399629,99.49,0.07,waste,temperate
GCF_015207525.1,Nodosilinea sp. LEGE 06152,Portugal: Praia de Lavadores; Canidelo,sea water sample; coastal; surf zone,6344577,filament,56.97318943,98.91,2.9,salt,temperate
GCA_015207585.1,Pleurocapsales cyanobacterium LEGE 06147,Portugal: Praia de Moledo; Caminha,intertidal zone; wave-exposed rock surface scraping,6229790,single,41.60551403,99.78,1.97,salt,temperate
GCF_015207645.1,Synechocystis salina LEGE 06099,Portugal: Praia de Moledo; Caminha,wave-exposed tide pool; rock surface scraping,3677085,single,48.24862629,99.27,0.55,salt,temperate
